loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.3268,1.0635019540786743,0.0001852246913580247,1.0,3750,,,,,,,,,,,,,
,,,1.0,3750,0.19651912152767181,0.9330263157894737,0.9329746834831478,0.9330263157894737,0.9329633854504091,26.606,285.649,8.945,,,,,
0.1871,1.02876877784729,0.00014820740740740742,2.0,7500,,,,,,,,,,,,,
,,,2.0,7500,0.18224160373210907,0.9398684210526316,0.9397851011549274,0.9398684210526316,0.9397823906191421,26.5953,285.764,8.949,,,,,
0.1648,0.44341251254081726,0.00011117037037037037,3.0,11250,,,,,,,,,,,,,
,,,3.0,11250,0.17788560688495636,0.9427631578947369,0.9428700444692113,0.9427631578947369,0.9425346407594151,26.6246,285.451,8.939,,,,,
0.1499,1.8382607698440552,7.415308641975309e-05,4.0,15000,,,,,,,,,,,,,
,,,4.0,15000,0.1702807992696762,0.9461842105263157,0.9465171763406872,0.9461842105263157,0.946263947612389,26.6086,285.622,8.944,,,,,
0.1367,6.141668319702148,3.713580246913581e-05,5.0,18750,,,,,,,,,,,,,
,,,5.0,18750,0.17743392288684845,0.9468421052631579,0.9469392755121253,0.9468421052631579,0.9468076306774077,26.6137,285.567,8.943,,,,,
0.1286,2.2031383514404297,1.1851851851851853e-07,6.0,22500,,,,,,,,,,,,,
,,,6.0,22500,0.17111873626708984,0.949078947368421,0.949212033943236,0.949078947368421,0.9490849623755341,26.5836,285.89,8.953,,,,,
,,,6.0,22500,,,,,,,,,5725.8828,125.745,3.93,4.258355845496832e+16,0.1823083726671007
,,,6.0,22500,0.1702807992696762,0.9461842105263157,0.9465171763406872,0.9461842105263157,0.946263947612389,26.5693,286.045,8.958,,,,,
