loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.3095,0.44630682468414307,0.00016671679951872463,1.0,3694,,,,,,,,,,,,,
,,,1.0,3694,0.19467706978321075,0.9360526315789474,0.9363170061538464,0.9360526315789474,0.9359996963511577,26.6314,285.377,8.937,,,,,
0.1832,12.691727638244629,0.00011118965257933525,2.0,7388,,,,,,,,,,,,,
,,,2.0,7388,0.18022888898849487,0.9398684210526316,0.9404597092477597,0.9398684210526316,0.939889015161768,26.4987,286.806,8.982,,,,,
0.1628,0.3829387128353119,5.566250563994586e-05,3.0,11082,,,,,,,,,,,,,
,,,3.0,11082,0.1751587986946106,0.9453947368421053,0.945375371287372,0.9453947368421053,0.9453779224172341,26.6632,285.037,8.926,,,,,
0.1483,inf,1.203188449390886e-07,4.0,14776,,,,,,,,,,,,,
,,,4.0,14776,0.16991199553012848,0.9456578947368421,0.9457070440112672,0.9456578947368421,0.9455693431563496,26.6059,285.651,8.945,,,,,
,,,4.0,14776,,,,,,,,,3234.3247,146.156,4.568,2.3531932425775536e+16,0.2009259333917755
,,,4.0,14776,0.16991199553012848,0.9456578947368421,0.9457070440112672,0.9456578947368421,0.9455693431563496,26.5896,285.827,8.951,,,,,
