loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.3067,1.1008175611495972,0.00016672592592592594,1.0,3750,,,,,,,,,,,,,
,,,1.0,3750,0.19379542768001556,0.9344736842105263,0.9347423709376683,0.9344736842105263,0.9344959867019398,26.4672,287.148,8.992,,,,,
0.1823,1.351986289024353,0.00011120000000000002,2.0,7500,,,,,,,,,,,,,
,,,2.0,7500,0.17793521285057068,0.9402631578947368,0.9404533459377558,0.9402631578947369,0.9402971179846127,26.49,286.901,8.985,,,,,
0.161,2.1827991008758545,5.565925925925927e-05,3.0,11250,,,,,,,,,,,,,
,,,3.0,11250,0.17249183356761932,0.9446052631578947,0.944548602532827,0.9446052631578947,0.9445258391757374,26.4878,286.924,8.985,,,,,
0.1462,0.8043313026428223,1.1851851851851853e-07,4.0,15000,,,,,,,,,,,,,
,,,4.0,15000,0.1704431176185608,0.9460526315789474,0.9461762144151906,0.9460526315789474,0.9460409743567184,26.4129,287.738,9.011,,,,,
,,,4.0,15000,,,,,,,,,3799.2361,126.341,3.948,2.839668282727373e+16,0.19904951985677083
,,,4.0,15000,0.1704431176185608,0.9460526315789474,0.9461762144151906,0.9460526315789474,0.9460409743567184,26.4158,287.706,9.01,,,,,
