loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.3121,1.9370315074920654,0.0001852246913580247,1.0,3750,,,,,,,,,,,,,
,,,1.0,3750,0.18142814934253693,0.9380263157894737,0.9386567127004892,0.9380263157894737,0.9381850210264726,30.5006,249.176,7.803,,,,,
0.1736,1.3267415761947632,0.00014820740740740742,2.0,7500,,,,,,,,,,,,,
,,,2.0,7500,0.16934999823570251,0.945,0.9452544159748019,0.945,0.9450621138905434,30.5431,248.829,7.792,,,,,
0.1496,4.1541361808776855,0.00011118024691358024,3.0,11250,,,,,,,,,,,,,
,,,3.0,11250,0.163645401597023,0.9486842105263158,0.9490071894799171,0.9486842105263158,0.948540831957212,30.5489,248.781,7.791,,,,,
0.1319,0.697962760925293,7.416296296296296e-05,4.0,15000,,,,,,,,,,,,,
,,,4.0,15000,0.16822274029254913,0.9498684210526316,0.9500669949151099,0.9498684210526316,0.9498638233159942,30.542,248.838,7.793,,,,,
0.1183,6.235839366912842,3.714567901234568e-05,5.0,18750,,,,,,,,,,,,,
,,,5.0,18750,0.17098982632160187,0.9493421052631579,0.9492798423837732,0.9493421052631579,0.9492729397622859,30.5143,249.063,7.8,,,,,
,,,5.0,18750,,,,,,,,,5909.6827,121.834,3.807,3.5464119125420544e+16,0.17711485188802084
,,,5.0,18750,0.163645401597023,0.9486842105263158,0.9490071894799171,0.9486842105263158,0.948540831957212,30.4404,249.668,7.819,,,,,
