loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.3209,1.1719295978546143,0.0001666962962962963,1.0,3750,,,,,,,,,,,,,
,,,1.0,3750,0.201274573802948,0.9328947368421052,0.9331403158531029,0.9328947368421052,0.9329040468339137,26.4305,287.546,9.005,,,,,
0.1881,1.0764892101287842,0.0001111851851851852,2.0,7500,,,,,,,,,,,,,
,,,2.0,7500,0.18088266253471375,0.9375,0.9378308295935824,0.9375,0.9376043322658736,26.4764,287.049,8.989,,,,,
0.1676,0.9959844946861267,5.564444444444444e-05,3.0,11250,,,,,,,,,,,,,
,,,3.0,11250,0.17437481880187988,0.9423684210526316,0.9423986138989846,0.9423684210526315,0.9422377755930981,26.5254,286.518,8.973,,,,,
0.1545,0.4329220950603485,1.1851851851851853e-07,4.0,15000,,,,,,,,,,,,,
,,,4.0,15000,0.17232662439346313,0.9436842105263158,0.9439200883290502,0.9436842105263158,0.9436866485556326,26.502,286.77,8.98,,,,,
,,,4.0,15000,,,,,,,,,3794.8266,126.488,3.953,2.839668282727373e+16,0.2077836954752604
,,,4.0,15000,0.17232662439346313,0.9436842105263158,0.9439200883290502,0.9436842105263158,0.9436866485556326,26.5183,286.595,8.975,,,,,
